Date,FilingDate,FilingID,Company,Shares,Value,Form,Source,ParserMethod,DateQuality
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,IAC/InterActiveCorp,12767264,281135153,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Gilead Sciences, Inc.",7512535,280818558,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Genzyme Corporation,5064492,275559010,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Bed Bath & Beyond Inc.,7160848,265739069,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Linear Technology Corporation,7279903,263823685,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Applied Materials, Inc.",15561913,256615945,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Research In Motion, Ltd.",3313771,252973278,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Electronic Arts Inc.,5423746,249438079,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,PACCAR Inc.,3445319,238140449,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Apollo Group, Inc.",3141780,230512399,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Xilinx, Inc.",8156940,220237380,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Teva Pharmaceutical Industries Limited,7945122,206175916,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Adobe Systems Incorporated,4163513,205968988,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Chiron Corporation,4650227,205540033,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Amazon.com, Inc.",4786371,195571119,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Intuit Inc.,4271446,193923648,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Paychex, Inc.",6356107,191636626,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"PeopleSoft, Inc.",9185129,182324811,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Altera Corporation,9260666,181231234,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Costco Wholesale Corporation,4303698,178861689,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,KLA -Tencor Corporation,4215554,174861180,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,Cintas Corporation,3645427,153253751,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Network Appliance, Inc.",6630975,152512425,485BPOS,SEC,text-schedule,reported-as-of
2004-09-30,2005-01-31,2005-01-31_0001206774-05-000077_d16120_s-6.txt,"Fiserv, Inc.",4327593,150859892,485BPOS,SEC,text-schedule,reported-as-of
