Date,Count,Top,BufferRule,Type,Tickers,Weights,PriceTickers
2023-12-18,10,AAPL,False,Recon,AAPL|MSFT|AMZN|AVGO|NVDA|META|TSLA|GOOGL|GOOG|COST,0.205477|0.186795|0.107382|0.093330|0.083422|0.082073|0.081807|0.054202|0.052971|0.052541,AAPL|AMZN|AVGO|COST|GOOG|GOOGL|META|MSFT|NVDA|TSLA
2024-03-18,10,MSFT,False,Rebal,MSFT|AAPL|NVDA|AMZN|META|AVGO|GOOGL|GOOG|COST|TSLA,0.188892|0.163410|0.134707|0.110403|0.105960|0.090211|0.053014|0.051293|0.051073|0.051037,AAPL|AMZN|AVGO|COST|GOOG|GOOGL|META|MSFT|NVDA|TSLA
2024-06-24,10,MSFT,False,Rebal,MSFT|AAPL|NVDA|AMZN|AVGO|META|GOOGL|GOOG|COST|TSLA,0.175842|0.168676|0.153544|0.102060|0.100721|0.091925|0.055636|0.053668|0.051347|0.046580,AAPL|AMZN|AVGO|COST|GOOG|GOOGL|META|MSFT|NVDA|TSLA
2024-09-23,10,AAPL,False,Rebal,AAPL|MSFT|NVDA|AVGO|AMZN|META|TSLA|COST|GOOGL|GOOG,0.174767|0.163551|0.144749|0.105066|0.103283|0.099568|0.061359|0.053300|0.048131|0.046226,AAPL|AMZN|AVGO|COST|GOOG|GOOGL|META|MSFT|NVDA|TSLA
2024-12-23,9,AAPL,False,Recon,AAPL|NVDA|MSFT|AMZN|AVGO|TSLA|META|GOOGL|GOOG,0.195196|0.173034|0.163701|0.119714|0.090795|0.079014|0.066151|0.057529|0.054867,AAPL|AMZN|AVGO|GOOG|GOOGL|META|MSFT|NVDA|TSLA
2025-03-24,9,AAPL,False,Rebal,AAPL|NVDA|MSFT|AMZN|AVGO|META|TSLA|GOOGL|GOOG,0.193723|0.173075|0.170723|0.125850|0.086622|0.079176|0.059116|0.057142|0.054573,AAPL|AMZN|AVGO|GOOG|GOOGL|META|MSFT|NVDA|TSLA
2025-06-23,9,MSFT,False,Rebal,MSFT|NVDA|AAPL|AMZN|AVGO|META|TSLA|GOOGL|GOOG,0.190322|0.185344|0.158569|0.116609|0.103978|0.079908|0.066866|0.050655|0.047749,AAPL|AMZN|AVGO|GOOG|GOOGL|META|MSFT|NVDA|TSLA
2025-09-22,9,NVDA,False,Rebal,NVDA|MSFT|AAPL|AVGO|AMZN|META|GOOGL|GOOG|NFLX,0.194546|0.166739|0.165707|0.114916|0.105854|0.072364|0.064052|0.059874|0.055949,AAPL|AMZN|AVGO|GOOG|GOOGL|META|MSFT|NFLX|NVDA
2025-12-22,9,NVDA,False,Recon,NVDA|AAPL|MSFT|AMZN|TSLA|META|GOOGL|GOOG|AVGO,0.188209|0.168826|0.151966|0.102965|0.091159|0.081914|0.075993|0.070978|0.067989,AAPL|AMZN|AVGO|GOOG|GOOGL|META|MSFT|NVDA|TSLA
2026-03-23,9,NVDA,False,Rebal,NVDA|AAPL|MSFT|AMZN|TSLA|META|GOOGL|GOOG|AVGO,0.197081|0.170489|0.131325|0.104165|0.087774|0.082267|0.081205|0.075085|0.070608,AAPL|AMZN|AVGO|GOOG|GOOGL|META|MSFT|NVDA|TSLA
2026-06-22,9,NVDA,False,Rebal,NVDA|AAPL|MSFT|MU|AMZN|GOOGL|TSLA|AVGO|GOOG,0.186351|0.166400|0.121432|0.109582|0.105523|0.080426|0.079000|0.076937|0.074350,AAPL|AMZN|AVGO|GOOG|GOOGL|MSFT|MU|NVDA|TSLA
